timestamp,water_level,boxdrain_cong1,valveoverflow_tran1,valveoverflow_tran2,valveoverflow_tran3
1/1/2014 0:00,25.1,0,0,0,0
2/1/2014 0:00,25.1,0,0,0,0
3/1/2014 0:00,25.1,0,0,0,0
4/1/2014 0:00,25.1,0,0,0,0
5/1/2014 0:00,25.1,0,0,0,0
6/1/2014 0:00,24.99,1,0,0,0
7/1/2014 0:00,24.99,1,0,0,0
8/1/2014 0:00,24.98,1,0,0,0
9/1/2014 0:00,24.98,1,0,0,0
10/1/2014 0:00,24.97,1,0,0,0
11/1/2014 0:00,24.97,1,0,0,0
12/1/2014 0:00,24.96,1,0,0,0
13/1/2014 0:00,24.96,1,0,0,0
14/1/2014 0:00,24.95,1,0,0,0
15/1/2014 0:00,24.94,2,0,0,0
16/1/2014 0:00,24.93,2,0,0,0
17/1/2014 0:00,24.91,2,0,0,0
18/1/2014 0:00,24.9,2,0,0,0
19/1/2014 0:00,24.89,2,0,0,0
20/1/2014 0:00,24.87,2,0,0,0
21/1/2014 0:00,24.85,1,0,0,0
22/1/2014 0:00,24.84,1,0,0,0
23/1/2014 0:00,24.83,1,0,0,0
24/1/2014 0:00,24.82,1,0,0,0
25/1/2014 0:00,24.81,1,0,0,0
26/1/2014 0:00,24.8,1,0,0,0
27/1/2014 0:00,24.79,1,0,0,0
28/1/2014 0:00,24.78,1,0,0,0
29/1/2014 0:00,24.76,1,0,0,0
30/1/2014 0:00,24.75,1,0,0,0
31/1/2014 0:00,24.74,1,0,0,0
1/2/2014 0:00,24.72,1,0,0,0
2/2/2014 0:00,24.71,1,0,0,0
3/2/2014 0:00,24.7,1,0,0,0
4/2/2014 0:00,24.68,1,0,0,0
5/2/2014 0:00,24.67,1,0,0,0
6/2/2014 0:00,24.65,1,0,0,0
7/2/2014 0:00,24.64,2,0,0,0
8/2/2014 0:00,24.62,2,0,0,0
9/2/2014 0:00,24.6,2,0,0,0
10/2/2014 0:00,24.59,2,0,0,0
11/2/2014 0:00,24.57,1,0,0,0
12/2/2014 0:00,24.56,1,0,0,0
13/2/2014 0:00,24.54,2,0,0,0
14/2/2014 0:00,24.52,5,0,0,0
15/2/2014 0:00,24.5,5,0,0,0
16/2/2014 0:00,24.48,5,0,0,0
17/2/2014 0:00,24.46,2,0,0,0
18/2/2014 0:00,24.45,2,0,0,0
19/2/2014 0:00,24.44,2,0,0,0
20/2/2014 0:00,24.43,2,0,0,0
21/2/2014 0:00,24.41,5,0,0,0
22/2/2014 0:00,24.39,5,0,0,0
23/2/2014 0:00,24.37,5,0,0,0
24/2/2014 0:00,24.35,2,0,0,0
25/2/2014 0:00,24.34,2,0,0,0
26/2/2014 0:00,24.33,2,0,25,0
27/2/2014 0:00,24.13,2,0,0,0
28/2/2014 0:00,24.12,8,0,0,0
1/3/2014 0:00,24.1,8,0,0,0
